Dates,Open,Close,Volume
06-12-2022 12:15,2759.25,2758,1314
06-12-2022 12:10,2756.3,2759.4,1419
06-12-2022 12:05,2762.95,2756.05,2299
06-12-2022 12:00,2757.7,2762.95,4419
06-12-2022 11:55,2753.35,2757.55,2075
06-12-2022 11:50,2753.35,2754,2021
06-12-2022 11:45,2753.1,2755,1518
06-12-2022 11:40,2755.9,2753,2103
06-12-2022 11:35,2760.95,2758,3048
06-12-2022 11:30,2759.7,2759.35,3823
06-12-2022 11:25,2753,2757.8,7690
06-12-2022 11:20,2751.85,2752.95,5443
06-12-2022 11:15,2745.85,2751.9,3103
06-12-2022 11:10,2752,2744.3,10344
06-12-2022 11:05,2753,2752.05,3862
06-12-2022 11:00,2754.55,2754.5,4026
06-12-2022 10:55,2758.05,2755.9,6075
06-12-2022 10:50,2763.6,2759,3305
06-12-2022 10:45,2762,2763.6,2637
06-12-2022 10:40,2763.05,2763.65,6955
06-12-2022 10:35,2763.1,2764.95,2789
06-12-2022 10:30,2765.9,2762.85,6402
06-12-2022 10:25,2763,2765.6,10815
06-12-2022 10:20,2762.5,2762,5223
06-12-2022 10:15,2765.15,2760.75,8329
06-12-2022 10:10,2757,2766,14178
06-12-2022 10:05,2747,2757.05,9592
06-12-2022 10:00,2754.15,2746.2,11247
06-12-2022 09:55,2763.85,2754.7,6664
06-12-2022 09:50,2762.7,2764,8556
06-12-2022 09:45,2756,2760.35,10086
06-12-2022 09:40,2758,2755.8,21291
06-12-2022 09:35,2757.85,2756.2,14050
06-12-2022 09:30,2779.95,2756.3,33432
06-12-2022 09:25,2750.3,2778.9,52154
06-12-2022 09:20,2747.2,2751,22689
06-12-2022 09:15,2726,2747.65,41614
06-12-2022 09:05,2725,2725,755
05-12-2022 16:55,2716.15,2716.15,0
05-12-2022 15:50,2716.15,2716.15,110
05-12-2022 15:45,2716.15,2716.15,76
05-12-2022 15:40,2716.15,2716.15,36
05-12-2022 15:30,2716.15,2716.15,1
05-12-2022 15:25,2709.85,2711,11746
05-12-2022 15:20,2709,2709.9,23992
05-12-2022 15:15,2719.2,2708.95,21156
05-12-2022 15:10,2719.75,2719.15,10553
05-12-2022 15:05,2724.45,2719.4,13259
05-12-2022 15:00,2715.3,2723,29630
05-12-2022 14:55,2712,2716.9,4801
05-12-2022 14:50,2712.8,2712,4515
05-12-2022 14:45,2713.65,2712.8,5499
05-12-2022 14:40,2717.55,2713.65,1827
05-12-2022 14:35,2717.6,2716.05,2677
05-12-2022 14:30,2722.8,2718.95,5563
05-12-2022 14:25,2716,2721.95,2899
05-12-2022 14:20,2717,2716,5347
05-12-2022 14:15,2718.85,2715.8,2744
05-12-2022 14:10,2719.05,2719,4142
05-12-2022 14:05,2714.1,2719.15,5044
05-12-2022 14:00,2712.85,2713.3,1732
05-12-2022 13:55,2713.1,2712.85,1151
05-12-2022 13:50,2711.1,2713.2,1276
05-12-2022 13:45,2711.8,2712.5,1096
05-12-2022 13:40,2712.7,2711.8,1791
05-12-2022 13:35,2710,2712.65,1760
05-12-2022 13:30,2709.05,2709.55,1316
05-12-2022 13:25,2712,2710.4,1958
05-12-2022 13:20,2711.8,2713.05,1507
05-12-2022 13:15,2708.7,2711.1,1755
05-12-2022 13:10,2709.25,2708.7,1315
05-12-2022 13:05,2712,2709.25,2042
05-12-2022 13:00,2712.5,2712,2417
05-12-2022 12:55,2714,2711.05,2638
05-12-2022 12:50,2711.75,2713,1470
05-12-2022 12:45,2712.85,2713,1842
05-12-2022 12:40,2712.25,2711.35,2812
05-12-2022 12:35,2714.5,2713.05,2170
05-12-2022 12:30,2715.35,2714.5,1624
05-12-2022 12:25,2715.35,2716.2,5609
05-12-2022 12:20,2709.65,2713.05,3860
05-12-2022 12:15,2709.2,2709.6,695
05-12-2022 12:10,2707.95,2709.45,2685
05-12-2022 12:05,2709.95,2707.1,2376
05-12-2022 12:00,2708,2709.95,1994
05-12-2022 11:55,2706.8,2707,2500
05-12-2022 11:50,2705.7,2706.75,2152
05-12-2022 11:45,2708.6,2704.05,2716
05-12-2022 11:40,2708.9,2708.6,955
05-12-2022 11:35,2710,2708.1,2776
05-12-2022 11:30,2708.1,2710.55,1234
05-12-2022 11:25,2708.35,2708.1,5278
05-12-2022 11:20,2707.2,2708.35,13025
05-12-2022 11:15,2709.2,2708.85,6100
05-12-2022 11:10,2711.15,2709.1,2175
05-12-2022 11:05,2713.15,2711.25,1409
05-12-2022 11:00,2711.3,2712.2,1567
05-12-2022 10:55,2708,2711.3,4840
05-12-2022 10:50,2712.3,2709,3854
05-12-2022 10:45,2712.95,2712.3,2669
05-12-2022 10:40,2718,2712.15,5036
05-12-2022 10:35,2718,2718,2177
05-12-2022 10:30,2715.5,2717.5,1585
05-12-2022 10:25,2719.05,2715.5,2374
05-12-2022 10:20,2718.35,2720.9,3355
05-12-2022 10:15,2715.2,2720.85,6529
05-12-2022 10:10,2719.7,2716.85,6019
05-12-2022 10:05,2714,2720.8,8276
05-12-2022 10:00,2712.35,2714,6172
05-12-2022 09:55,2707,2712.3,9026
05-12-2022 09:50,2723,2708.25,8057
05-12-2022 09:45,2721.15,2720.65,10477
05-12-2022 09:40,2733.1,2723.6,12153
05-12-2022 09:35,2730,2733.4,6739
05-12-2022 09:30,2733.95,2732.6,10360
05-12-2022 09:25,2750.05,2733.9,15298
05-12-2022 09:20,2757.05,2751.65,7100
05-12-2022 09:15,2765,2753.5,30772
05-12-2022 09:05,2760,2760,1745
02-12-2022 16:55,2745.7,2745.7,0
02-12-2022 15:55,2745.7,2745.7,6
02-12-2022 15:50,2745.7,2745.7,44
02-12-2022 15:45,2745.7,2745.7,3
02-12-2022 15:40,2745.7,2745.7,93
02-12-2022 15:30,2745.7,2745.7,3
02-12-2022 15:25,2737.1,2745,12566
02-12-2022 15:20,2739.4,2737.9,38961
02-12-2022 15:15,2750,2737.2,33611
02-12-2022 15:10,2754.3,2750.85,15855
02-12-2022 15:05,2750.4,2753.65,19088
02-12-2022 15:00,2752.7,2750,23182
02-12-2022 14:55,2752.05,2749.55,9594
02-12-2022 14:50,2756,2752.05,19031
02-12-2022 14:45,2744.15,2756,12937
02-12-2022 14:40,2746.9,2744.15,6130
02-12-2022 14:35,2745.75,2746.2,10066
02-12-2022 14:30,2752.85,2745.3,5622
02-12-2022 14:25,2754.4,2754.45,4619
02-12-2022 14:20,2753.95,2754.4,13611
02-12-2022 14:15,2751,2753.95,28698
02-12-2022 14:10,2748.8,2751,6212
